Price,Mileage,Make,Make2,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather
17314.103128901600,8221,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,1
17542.036083279300,9135,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
16218.847861937700,13196,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
16336.913140048600,16342,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,0
16339.170323925500,19832,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,1
15709.052821083300,22236,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
15230.003389847900,22576,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
15048.042184116000,22964,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,0
14862.093869597800,24021,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,0,1
15295.018266878800,27325,1,Buick,Century,Sedan 4D,Sedan,6,3.1,4,1,1,1
21335.852484891000,10237,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,0,0
20538.087510225400,15066,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
20512.094091238900,16633,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
19924.159052404000,19800,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
19774.249066066100,23359,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
19344.165537356900,23765,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
19105.130124415900,24008,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,0,0
18543.427045365300,26034,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
17808.198996020600,32896,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,0
17968.838278264600,34665,1,Buick,Lacrosse,CX Sedan 4D,Sedan,6,3.6,4,1,1,1
22358.877678117100,8970,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,0
23785.922526377200,10577,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1
22926.090371255300,14363,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1
21895.758784200600,16508,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,1
21273.061713920100,18908,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
21460.013952891100,19467,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,1
21183.123587423500,21394,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
20406.099502893600,22596,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
21058.139579953900,24469,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1
19556.899320289200,25245,1,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
23447.686561014800,15755,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,0
23547.239442877300,16235,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,0
23016.008008681700,18147,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,1
22230.027502557200,22102,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,1
22625.073566049600,23612,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,1
21799.172096888700,24439,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,0
21341.257207074500,25212,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,1
21683.031463554700,26779,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,0
20986.016017484600,27096,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,0
20902.103794311900,29649,1,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,1
20698.077083173000,2992,1,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,0,1
20099.256844840000,10036,1,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,1
18145.126489093500,18339,1,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
17944.856923459300,19592,1,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,0,0
19027.862305434500,21797,1,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,0,1
18348.898571694500,23852,1,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
17750.884574628400,25040,1,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
17772.969680041200,25052,1,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
17394.021397803100,25464,1,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
17645.745044143500,27830,1,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,1
21908.366624624700,17353,1,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,0,0
21956.342662708400,17787,1,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0
21646.116923553600,19562,1,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,1
21575.456827000600,20137,1,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0
20952.217801595300,20158,1,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0
21562.047577862600,23767,1,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,0,1
19981.127911416900,24323,1,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0
19425.848616327000,27839,1,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0
19191.989616845400,29187,1,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,1
19641.741902328500,31324,1,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,1
25589.983154631400,2308,1,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,0
25098.629057152900,10014,1,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,0
23420.706947938300,18910,1,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,0,1
